,fips,TOT_POP,0-9,0-9 y/o % of total pop,19-Oct,10-19 y/o % of total pop,20-29,20-29 y/o % of total pop,30-39,30-39 y/o % of total pop,40-49,40-49 y/o % of total pop,50-59,50-59 y/o % of total pop,60-69,60-69 y/o % of total pop,70-79,70-79 y/o % of total pop,80+,80+ y/o % of total pop,White-alone pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,Two or more races pop,% Two or more races,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,STATE_FIPS,CNTY_FIPS,county_pop2018_18 and older,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_number,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,COPD_number,diabetes_prevalence,diabetes_Lower 95% CI,diabetes_Upper 95% CI,diabetes_number,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,CKD_number,Urban_rural_code,COUNTY_NAME_n,STATE_NAME_n,Heart disease_number
201,6035,30802,2987,9.697422245,2954,9.590286345,5363,17.41120706,5067,16.4502305,4196,13.62249205,3732,12.11609636,3469,11.2622557,1997,6.483345237,1037,3.366664502,24988,81.1246023,2558,8.304655542,1315,4.269203298,478,1.551847283,278,0.902538796,1185,3.847152782,30802,-321,7640,9.6,7.7,2.0,0.5,-13.0,-12.5,3853,7444,8396,2697,17.2,33.2,37.5,12.0,3653,15.8,15.8,15.4,57705,52673,62737,9899,9425,474,4.8,57705,76.7,279.6,243.8,96.2,87.1,7.2,6.2,12.00246449,6.16475356,0.279543581,17.41346266,11.83427114,45.76338657,0,31470,5929,18.8,6,35,25535,38.9,37.1,40.7,9937,28.7,27.5,29.9,7329,6.7,6.1,7.3,7.4,6.5,8.4,1891,10.2,9.5,10.9,2608,3.0,2.8,3.2,762,5,183,4,1710
2200,40143,648360,92238,14.22635573,87676,13.52273428,90407,13.94395089,90178,13.90863101,78918,12.17194151,77599,11.96850515,68946,10.63390709,39788,6.136714171,22610,3.487260164,470814,72.61613918,70062,10.80603368,44357,6.841415263,22307,3.440526868,1067,0.164569067,39753,6.131315936,648360,1633,9862,14.3,9.5,4.8,1.8,-4.1,-2.3,45463,107189,136950,131433,10.8,25.5,32.5,31.2,89706,14.1,19.6,17.9,55796,54328,57264,322030,311265,10765,3.3,55796,107.5,206.7,189.1,73.9,68.5,6.2,5.8,185.9701923,211.7856832,20.55373478,216.8830094,371.6115249,766.5720925,379,637123,120771,19.0,40,143,484318,43.8,42.1,45.5,212372,31.9,30.8,33.0,154497,7.5,6.9,8.2,7.4,6.4,8.5,35931,12.0,11.1,12.8,57985,3.0,2.8,3.2,14701,3,1353,36,36429
126,5035,48342,7217,14.92904721,7111,14.70977618,6454,13.35070953,5966,12.34123536,5664,11.7165198,6248,12.92457904,5140,10.63257623,3041,6.290596169,1501,3.10496049,21006,43.4528981,26118,54.02755368,186,0.384758595,325,0.672293244,30,0.062057838,677,1.400438542,48342,-388,1038,14.4,11.1,3.3,-0.2,-11.1,-11.3,5461,10890,9132,5607,17.6,35.0,29.4,18.0,9056,19.2,29.0,28.4,42606,39111,46101,21467,20542,925,4.3,42606,90.5,207.6,188.2,79.9,75.0,7.0,6.5,20.93230695,3.352377129,1.411527212,14.42003368,27.0275381,58.33777807,0,49278,9487,19.3,5,35,35266,54.2,52.4,55.9,19099,38.2,36.8,39.5,13472,8.7,8.1,9.4,9.5,8.4,10.7,3347,15.8,14.9,16.8,5577,3.7,3.5,4.0,1311,2,123,3,3077
531,13297,93503,11758,12.57499759,13652,14.60060105,11486,12.28409784,11298,12.08303477,12455,13.32042822,12963,13.8637263,10119,10.82211266,6747,7.215811257,3025,3.235190315,72660,77.70873662,17264,18.46357871,381,0.407473557,1511,1.615990931,105,0.112295862,1582,1.691924323,93503,2097,761,12.2,9.2,3.1,0.6,18.9,19.6,7618,22584,17676,11885,12.7,37.8,29.6,19.9,10993,11.9,17.9,17.0,65416,59719,71113,45262,43654,1608,3.6,65416,111.6,228.7,202.9,79.1,71.9,7.0,6.1,42.7984234,29.57224396,1.288841411,44.24725892,30.31888312,113.6669239,7,88695,17821,20.1,13,297,70418,44.1,42.2,46.1,31082,33.4,32.0,34.8,23520,7.2,6.5,7.8,8.3,7.2,9.5,5846,12.4,11.6,13.3,8739,3.1,2.9,3.3,2193,2,337,10,5052
1431,28065,11234,1276,11.35837636,1159,10.31689514,1433,12.75591953,1151,10.24568275,1314,11.69663521,1527,13.59266512,1629,14.50062311,1159,10.31689514,586,5.216307638,4320,38.45469112,6738,59.97863628,32,0.284849564,31,0.275948015,5,0.044507744,108,0.961367278,11234,-87,114,10.5,14.1,-3.6,0.0,-4.0,-4.0,1727,2910,2363,1134,21.2,35.8,29.1,13.9,2885,26.0,37.6,37.6,31739,28267,35211,4113,3838,275,6.7,31739,70.9,191.3,174.8,65.9,61.2,7.1,6.7,7.846605927,0.402486498,0.372394049,4.434874587,4.126426991,12.71782102,0,11639,3162,27.2,28,65,9019,58.5,56.8,60.2,5274,44.1,42.6,45.5,3977,11.0,10.2,11.8,11.9,10.6,13.2,1072,20.3,19.2,21.4,1832,4.8,4.6,5.2,435,6,766,24,990
199,6031,151366,23256,15.3640844,21654,14.30572255,26099,17.24231333,23433,15.48101952,18660,12.32773542,16232,10.72367639,11602,7.664865293,6634,4.382754383,3796,2.507828707,122615,81.00564195,10978,7.252619479,4803,3.173103603,6836,4.516205753,525,0.346841431,5609,3.705587781,151366,1670,16066,14.8,6.0,8.8,-0.4,2.7,2.3,24270,23540,32073,12438,26.3,25.5,34.7,13.5,25481,18.8,23.2,22.4,58255,54910,61600,57865,53384,4481,7.7,58255,77.4,279.6,243.8,96.2,87.1,7.2,6.2,58.98204793,30.2945941,1.373722279,85.57256635,58.15551864,224.8886687,22,150183,20569,13.7,6,31,110402,42.5,40.9,44.3,46947,34.1,32.9,35.4,37647,6.0,5.6,6.5,6.3,5.7,7.0,6984,11.5,11.0,12.2,12751,3.1,2.9,3.3,3412,4,181,4,6652
1497,29033,8743,1075,12.29555073,1125,12.86743681,972,11.1174654,887,10.14525906,1028,11.75797781,1185,13.5537001,1130,12.92462541,856,9.790689695,485,5.547294979,8399,96.06542377,156,1.784284571,26,0.297380762,16,0.183003546,12,0.137252659,134,1.532654695,8743,-51,88,12.0,13.6,-1.6,-0.1,-4.1,-4.2,835,2796,1501,1054,13.5,45.2,24.3,17.0,1060,12.3,20.8,19.1,47049,41944,52154,4683,4536,147,3.1,47049,86.5,273.1,236.3,86.6,79.0,7.0,6.3,4.876367431,0.949015025,0.174105012,5.438640995,3.904518961,15.50533571,0,8909,2477,27.8,29,33,6728,49.2,46.6,51.7,3312,34.4,32.6,36.3,2314,9.6,8.6,10.5,11.1,9.4,12.7,746,13.6,12.5,14.8,917,3.6,3.3,3.9,241,6,115,25,643
2161,40065,24949,3738,14.98256443,3192,12.79409996,3818,15.30321857,3522,14.11679827,2628,10.53348832,2923,11.71590044,2519,10.09659706,1633,6.545352519,976,3.91198044,20769,83.24582148,1956,7.839993587,688,2.757625556,390,1.563188905,87,0.348711371,1059,4.244659105,24949,-264,687,16.5,8.2,8.3,1.3,-20.1,-18.8,2784,4480,5559,3383,17.2,27.6,34.3,20.9,3704,15.3,22.9,23.0,47747,44592,50902,10724,10397,327,3.0,47747,92.0,206.7,189.1,73.9,68.5,6.2,5.8,7.156163749,8.149548107,0.790911113,8.345694063,14.29967292,29.49782087,6,25574,4799,18.8,40,65,18639,47.5,45.7,49.2,8857,37.4,36.0,38.8,6971,8.0,7.3,8.7,8.2,7.2,9.4,1530,12.2,11.5,13.0,2279,3.2,3.0,3.4,593,5,35,36,1491
3059,55029,27610,2216,8.026077508,2736,9.909453097,2374,8.598333937,2551,9.239406012,2790,10.10503441,4097,14.83882651,5439,19.69938428,3569,12.92647591,1838,6.65700833,26665,96.57732706,202,0.731618979,203,0.735240855,139,0.503440782,12,0.043462514,389,1.408909815,27610,130,340,7.8,12.5,-4.8,0.0,9.4,9.4,1293,6652,6560,6872,6.0,31.1,30.7,32.1,2289,8.4,12.8,11.3,61221,56225,66217,15499,14940,559,3.6,61221,100.7,264.9,238.3,94.6,86.4,7.9,7.1,14.44242331,8.738592204,0.631648241,14.49466489,15.55849351,43.67871331,4,27443,10267,37.4,55,29,23121,42.1,39.3,44.9,9725,32.8,30.6,34.8,7584,8.4,7.4,9.5,7.2,5.9,8.7,1674,11.3,10.0,12.5,2603,3.4,3.2,3.8,794,6,1801,49,1945
692,17199,67056,7994,11.92137915,7872,11.73944166,7822,11.66487712,8937,13.32766643,8398,12.52386065,8886,13.25161059,8277,12.34341446,5891,8.785194464,2979,4.442555476,61446,91.63385827,3116,4.646862324,329,0.490634693,907,1.352600811,17,0.025351945,1241,1.850691959,67056,-51,2001,11.0,11.8,-0.8,1.0,-0.9,0.1,4180,14567,18045,10735,8.8,30.6,38.0,22.6,9356,14.4,20.0,18.8,46187,42777,49597,31873,30236,1637,5.1,46187,71.0,284.4,240.5,99.6,87.2,7.0,5.8,26.12015057,13.11533653,0.984176538,50.7929827,31.86205753,112.5434817,26,67477,16353,24.2,17,199,52407,46.6,44.3,48.9,24426,34.3,32.4,36.2,17976,7.8,7.1,8.6,8.8,7.6,10.2,4638,11.3,10.4,12.2,5925,3.2,3.0,3.4,1677,4,535,13,4106
934,20097,2516,326,12.95707472,350,13.91096979,319,12.67885533,228,9.06200318,249,9.896661367,312,12.40063593,359,14.26868045,195,7.750397456,178,7.074721781,2385,94.79332273,29,1.152623211,19,0.755166932,37,1.470588235,2,0.079491256,44,1.748807631,2516,15,149,14.4,8.8,5.6,1.2,-0.4,0.8,168,454,550,453,10.3,27.9,33.8,27.9,286,12.1,16.0,15.6,64399,62923,65875,1306,1275,31,2.4,64399,110.7,227.6,206.5,88.0,80.5,6.8,6.3,1.418947245,0.718979359,0.120117946,1.04131025,1.545978454,3.295034012,0,2524,729,28.9,20,97,1942,47.8,45.3,50.6,929,37.9,35.9,39.7,736,8.3,7.3,9.3,8.0,6.6,9.7,156,12.3,11.1,13.5,238,3.3,3.0,3.6,63,6,251,16,160
686,17187,17032,2047,12.01855331,2427,14.24964772,2193,12.87576327,1901,11.16134335,1835,10.77383748,2116,12.42367309,2215,13.00493189,1407,8.26092062,891,5.231329263,15699,92.17355566,469,2.753640207,74,0.43447628,438,2.571629873,33,0.193752936,319,1.872945045,17032,-138,978,11.9,10.5,1.4,3.0,-12.5,-9.5,1388,3704,3616,2599,12.3,32.8,32.0,23.0,2069,12.9,17.2,16.1,53532,47905,59159,8691,8324,367,4.2,53532,82.3,284.4,240.5,99.6,87.2,7.0,5.8,6.63443099,3.331251668,0.249977553,12.90124793,8.092856179,28.5856684,0,17429,4147,23.8,17,187,13298,47.9,45.5,50.3,6371,36.2,34.2,38.0,4814,8.0,7.2,8.8,8.8,7.5,10.4,1175,11.5,10.5,12.5,1525,3.2,3.0,3.5,430,6,438,13,1059
817,19061,96854,12050,12.44140665,12963,13.38406261,13096,13.5213827,11767,12.14921428,10268,10.60152394,12851,13.26842464,12017,12.40733475,6920,7.144774609,4922,5.081875813,89864,92.78295166,3398,3.508373428,289,0.298387263,1315,1.357713672,430,0.443967208,1558,1.608606769,96854,-155,4286,11.9,9.4,2.5,0.7,-4.7,-4.1,4911,21282,18703,19669,7.6,33.0,29.0,30.5,10555,11.3,12.1,10.6,60367,57168,63566,55213,53880,1333,2.4,60367,100.5,218.2,193.1,84.8,77.9,6.9,6.5,58.9812534,26.17638353,3.621117534,39.21854414,66.31555077,125.4195539,18,96571,22155,22.9,19,61,74817,41.6,39.4,43.7,31106,34.9,33.4,36.5,26111,6.7,6.0,7.5,6.4,5.4,7.5,4794,9.6,8.7,10.5,7167,2.8,2.6,3.1,2111,4,593,15,5034
216,6065,2450758,328198,13.39169351,357333,14.58050938,345704,14.10600312,328928,13.42148021,305389,12.46100186,299674,12.2278087,241545,9.855930288,156929,6.403284208,87058,3.55228872,1954479,79.74997939,177121,7.227192567,46871,1.912510334,173695,7.087399082,11005,0.449044745,87587,3.573873879,2450758,33534,33324,12.5,7.3,5.2,0.8,7.8,8.6,280295,411949,504267,333718,18.3,26.9,33.0,21.8,307511,12.7,17.1,16.3,66793,65743,67843,1092371,1044563,47808,4.4,66793,88.8,279.6,243.8,96.2,87.1,7.2,6.2,954.9748676,490.4979906,22.24185659,1385.500387,941.5925806,3641.159202,351,2355002,437180,18.6,6,65,1834632,38.2,36.8,39.5,700860,28.8,27.9,29.7,528374,6.0,5.6,6.5,6.1,5.4,6.8,111414,11.7,11.1,12.3,215186,3.1,3.0,3.3,57180,1,197,4,110912
2922,51600,24574,4020,16.35875315,2584,10.51517864,3370,13.71368113,3332,13.55904615,3023,12.3016196,3287,13.37592578,2573,10.47041589,1476,6.006348173,909,3.699031497,17247,70.18393424,1529,6.222023277,164,0.667372019,4714,19.18287621,37,0.150565639,883,3.593228616,24574,412,521,26.5,8.6,17.9,10.3,-11.3,-1.0,1146,2158,3443,9578,7.0,13.2,21.1,58.7,1823,7.6,6.9,8.1,105532,96141,114923,13113,12813,300,2.3,105532,145.4,263.2,231.8,90.3,81.7,7.3,6.3,12.91928171,6.064388152,0.276965396,12.25571878,10.75837461,33.90518057,0,23580,4687,19.9,51,600,18433,32.9,31.3,34.6,6061,25.3,24.2,26.4,4664,5.3,4.8,5.9,4.7,3.9,5.7,874,9.5,8.8,10.2,1743,2.4,2.3,2.6,451,2,1736,46,976
1277,26097,10787,848,7.861314545,1045,9.68758691,1063,9.854454436,946,8.769815519,1187,11.00398628,1664,15.42597571,2017,18.6984333,1335,12.37600816,682,6.322425141,8015,74.30240104,337,3.124130898,1794,16.63113006,80,0.741633448,2,0.018540836,559,5.182163716,10787,31,95,7.9,12.1,-4.2,2.0,5.0,7.1,810,2848,2833,1806,9.8,34.3,34.1,21.8,1431,13.4,20.8,19.8,46645,42517,50773,5129,4634,495,9.7,46645,82.4,287.0,249.7,97.8,87.6,7.9,6.7,4.769802464,4.082389756,0.155396279,8.001829247,6.499665213,21.90979625,0,10836,3817,35.2,26,97,9089,53.6,51.4,55.8,4873,37.8,36.0,39.4,3436,11.4,10.4,12.5,11.9,10.4,13.5,1081,15.1,14.0,16.2,1375,4.2,3.9,4.5,378,6,866,22,1037
152,5087,16481,2112,12.81475639,2148,13.03318973,1840,11.16437109,1854,11.2493174,1939,11.7650628,2296,13.9311935,2210,13.4093805,1399,8.488562587,683,4.144166009,15535,94.26005704,149,0.904071355,279,1.692858443,133,0.806989867,83,0.503610218,302,1.832413082,16481,132,79,14.8,8.6,6.2,1.2,0.8,1.9,2242,5037,2382,1375,20.3,45.6,21.6,12.5,3002,18.4,26.5,25.7,42674,38116,47232,7426,7213,213,2.9,42674,90.6,207.6,188.2,79.9,75.0,7.0,6.5,7.136348328,1.142909426,0.481225021,4.91615107,9.214365466,19.88881139,0,15907,3897,24.5,5,87,12577,47.4,45.1,49.5,5957,33.6,31.9,35.2,4226,10.6,9.7,11.7,11.6,10.1,13.4,1463,14.6,13.5,15.7,1833,3.7,3.4,4.0,465,3,44,3,1336
2805,50003,35631,3470,9.738710673,4301,12.07094945,4014,11.26547108,3514,9.862198647,3834,10.760293,5438,15.26199096,5450,15.2956695,3507,9.842552833,2103,5.902163846,34031,95.50952822,449,1.260138643,117,0.328365749,443,1.243299374,17,0.047711263,574,1.610956751,35631,-82,1427,8.6,12.2,-3.6,2.0,-0.7,1.4,2079,7495,6868,9145,8.1,29.3,26.8,35.7,3905,11.4,16.5,14.0,52510,47622,57398,18308,17732,576,3.1,52510,86.2,367.1,322.7,130.3,121.5,11.7,9.9,21.84628109,14.05216518,0.796478998,23.72369587,21.22047616,68.83854197,10,36054,10413,28.9,50,3,28875,39.4,37.2,41.6,11368,27.9,26.4,29.4,8056,7.8,6.9,8.7,7.8,6.4,9.2,2247,11.3,10.1,12.3,3259,3.2,3.0,3.5,927,5,1675,45,2252
1992,38009,6411,733,11.43347372,802,12.50974887,691,10.77834971,660,10.2948058,605,9.436905319,868,13.53922945,1039,16.20652004,634,9.889252847,379,5.911714241,5971,93.13679613,48,0.748713149,201,3.135236313,44,0.686320387,0,0.0,147,2.29293402,6411,-125,232,9.3,13.6,-4.3,1.5,-16.4,-14.8,407,1347,1767,1096,8.8,29.2,38.3,23.7,715,11.6,15.2,14.0,59161,53491,64831,2992,2892,100,3.3,59161,90.7,237.6,217.1,87.0,79.6,10.5,9.7,3.85464499,1.914670487,0.328952198,2.960569784,4.951152317,7.616508591,0,6651,2058,30.9,38,9,5070,42.2,39.8,44.4,2138,33.4,31.9,35.2,1693,8.5,7.6,9.5,7.2,6.0,8.4,365,11.8,10.6,12.9,599,3.3,3.0,3.6,166,6,1254,34,433
1841,36031,37300,3108,8.332439678,3656,9.801608579,4088,10.95978552,4370,11.71581769,4382,11.74798928,5811,15.57908847,5985,16.04557641,3789,10.15817694,2111,5.659517426,35253,94.51206434,1019,2.731903485,196,0.525469169,293,0.785522788,20,0.053619303,519,1.391420912,37300,-211,2098,7.9,11.0,-3.1,0.7,-3.2,-2.5,2546,9451,8814,7920,8.9,32.9,30.7,27.6,4150,11.7,16.1,15.9,54376,51385,57367,17078,16244,834,4.9,54376,80.4,375.1,304.1,112.9,94.8,10.2,7.4,24.0704774,16.97397157,0.316842379,39.54803676,12.36830493,93.35016323,0,38233,11100,29.0,36,31,31238,43.8,41.6,46.0,13670,31.7,30.3,33.2,9902,8.4,7.5,9.5,8.9,7.3,10.5,2771,11.3,10.2,12.4,3540,3.2,3.0,3.5,1010,6,825,32,2635
2666,48291,86323,12696,14.70755187,12309,14.25923566,12059,13.96962571,11440,13.25255146,11038,12.78685866,10916,12.645529,8812,10.20817163,4969,5.756287432,2084,2.414188571,74485,86.28638949,8615,9.979958991,1011,1.171182651,656,0.759936518,92,0.106576463,1464,1.695955887,86323,2514,5093,13.3,9.7,3.6,0.8,25.2,26.0,12071,20993,15267,5056,22.6,39.3,28.6,9.5,12252,15.1,23.2,23.0,52577,49100,56054,32303,30414,1889,5.8,52577,86.7,224.8,199.9,72.9,66.5,6.2,5.4,29.77500924,17.5732706,1.572962609,32.66228286,28.90882715,101.9508347,0,79884,14641,18.3,48,291,63455,51.5,49.8,53.2,32693,40.1,38.8,41.5,25445,7.8,7.3,8.4,8.7,7.8,9.7,5539,13.3,12.6,14.0,8443,3.2,3.0,3.4,2047,2,316,43,4975
965,20159,9531,1203,12.62197041,1349,14.15381387,1286,13.49281293,1052,11.03766656,915,9.60025181,1192,12.50655755,1244,13.05214563,751,7.879550939,539,5.655230301,8910,93.48441926,150,1.573811772,124,1.301017732,105,1.10166824,8,0.083936628,234,2.455146364,9531,-67,651,10.7,10.0,0.6,0.9,-8.6,-7.6,574,1805,2453,1463,9.1,28.7,39.0,23.2,1221,13.8,19.2,17.8,51686,46610,56762,5287,5132,155,2.9,51686,88.9,227.6,206.5,88.0,80.5,6.8,6.3,5.375193242,2.723605833,0.455025494,3.944645467,5.856407253,12.48210221,0,9868,2499,25.3,20,159,7365,48.1,45.8,50.3,3544,36.2,34.4,38.0,2666,8.1,7.3,8.9,8.0,6.8,9.2,588,12.2,11.2,13.1,897,3.3,3.0,3.5,240,6,672,16,594
2008,38041,2514,350,13.9220366,310,12.3309467,268,10.66030231,273,10.85918854,247,9.824980111,321,12.76849642,326,12.96738266,214,8.512330947,205,8.15433572,2332,92.76054097,19,0.755767701,91,3.619729515,12,0.477326969,8,0.318217979,52,2.068416866,2514,29,163,14.0,6.0,8.0,0.8,3.6,4.4,253,668,699,272,13.4,35.3,36.9,14.4,291,12.4,15.4,14.5,51455,46208,56702,1395,1367,28,2.0,51455,78.9,237.6,217.1,87.0,79.6,10.5,9.7,1.51155475,0.750816036,0.128994826,1.16095343,1.941537502,2.986726345,0,2601,875,33.6,38,41,1904,45.2,42.6,47.5,860,34.0,32.3,35.7,647,9.4,8.4,10.4,8.0,6.7,9.3,152,12.1,11.0,13.1,230,3.4,3.2,3.8,66,6,1265,34,178
478,13189,21531,2961,13.75226418,3014,13.99842088,2561,11.89447773,2412,11.20245228,2447,11.36500859,2900,13.46895174,2676,12.42859133,1777,8.253216293,783,3.636616971,11944,55.47350332,8968,41.65157215,93,0.431935349,112,0.520180205,20,0.092889322,394,1.829919651,21531,34,286,12.7,12.4,0.3,-0.4,1.7,1.3,2550,5795,3996,1962,17.8,40.5,27.9,13.7,4223,19.9,31.3,30.6,42768,38216,47320,8973,8474,499,5.6,42768,72.9,228.7,202.9,79.1,71.9,7.0,6.1,9.855222338,6.809620917,0.296782396,10.18884669,6.98155003,26.17416059,0,21488,4855,22.6,13,189,16131,52.0,50.2,53.7,8384,39.0,37.5,40.3,6291,9.3,8.6,10.0,10.9,9.6,12.0,1751,17.0,16.0,17.8,2736,4.1,3.9,4.4,667,3,403,10,1501
1282,26107,43545,4239,9.734757148,6505,14.9385693,8038,18.45906533,4211,9.67045585,4169,9.574003904,5477,12.57779309,5582,12.81892295,3637,8.352279251,1687,3.874153175,40488,92.9796762,1243,2.854518314,356,0.817545068,392,0.900218165,22,0.050522448,1044,2.397519807,43545,187,3342,8.8,8.4,0.4,1.4,2.4,3.8,2828,9700,8405,5874,10.5,36.2,31.4,21.9,7368,18.4,20.7,17.5,45804,41931,49677,18562,17642,920,5.0,45804,80.9,287.0,249.7,97.8,87.6,7.9,6.7,19.25475557,16.4798055,0.627304254,32.30181279,26.23787167,88.4455435,4,43181,10289,23.8,26,107,35552,43.3,41.0,45.6,15399,34.6,32.9,36.4,12301,8.4,7.6,9.2,9.7,8.3,11.1,3446,11.0,10.0,11.9,3899,3.2,3.0,3.4,1135,5,870,22,2971
1604,30017,11586,1360,11.73830485,1409,12.16122907,1343,11.59157604,1467,12.66183325,1260,10.8751942,1590,13.72345935,1599,13.80113931,923,7.966511307,635,5.480752632,10932,94.35525634,57,0.491973071,273,2.356292077,78,0.673226308,9,0.077679959,237,2.045572242,11586,-139,431,11.8,12.2,-0.3,0.0,-11.7,-11.7,612,2470,3370,1869,7.4,29.7,40.5,22.5,1398,12.5,16.2,15.6,50525,45338,55712,6068,5880,188,3.1,50525,91.5,247.1,236.2,91.5,88.0,9.8,9.4,5.496862012,4.264430648,0.610762446,3.751826453,6.402099209,12.56425603,4,11895,3032,25.5,30,17,9114,36.7,34.4,38.7,3341,27.6,26.0,29.1,2515,7.4,6.6,8.1,6.9,5.9,8.0,633,10.4,9.5,11.3,950,3.1,2.8,3.3,278,6,236,26,672
2112,39143,58799,6808,11.5784282,7581,12.89307641,6673,11.34883246,6886,11.71108352,7020,11.93897855,8351,14.20262249,8037,13.66859981,4652,7.911699179,2791,4.746679365,54891,93.35362846,1996,3.394615555,217,0.369053896,252,0.428578717,10,0.017007092,1433,2.437116277,58799,-313,902,10.7,10.5,0.2,0.1,-5.6,-5.5,3993,17290,13056,6545,9.8,42.3,31.9,16.0,5769,10.0,13.4,12.3,53978,49921,58035,30748,29352,1396,4.5,53978,96.1,292.7,248.6,93.7,83.7,8.3,7.1,30.37674176,11.2472917,0.975838368,39.76792853,27.19269183,114.595617,18,59559,14131,23.7,39,143,45680,43.5,41.5,45.3,19849,34.7,33.2,36.0,15851,8.7,8.0,9.5,9.8,8.6,11.3,4478,13.0,12.0,13.9,5931,3.3,3.1,3.5,1490,5,1309,35,3987
1666,31029,3977,542,13.62836309,557,14.00553181,369,9.278350515,433,10.88760372,452,11.36535077,502,12.62257983,525,13.2009052,328,8.24742268,269,6.763892381,3893,97.88785517,21,0.528036208,18,0.452602464,7,0.176012069,0,0.0,38,0.955494091,3977,33,64,13.9,11.9,2.0,7.1,-0.5,6.6,307,679,1148,560,11.4,25.2,42.6,20.8,370,9.5,11.6,10.2,54866,49249,60483,2268,2219,49,2.2,54866,91.9,239.2,214.5,88.2,80.3,6.8,6.2,2.154166762,1.694473759,0.191710535,1.842894818,2.597368536,5.658552881,0,3803,1112,29.2,31,29,2959,46.9,44.5,49.1,1388,37.3,35.6,38.9,1104,7.8,6.9,8.8,7.3,6.0,8.6,215,10.9,9.9,11.8,322,3.2,3.0,3.5,96,6,629,27,232
2943,51770,99920,13394,13.40472378,10946,10.95476381,13910,13.92113691,13764,13.77502002,11926,11.93554844,13057,13.06745396,12084,12.09367494,6715,6.720376301,4124,4.127301841,63304,63.35468375,29547,29.57065653,426,0.426341073,3438,3.440752602,100,0.100080064,3105,3.107485989,99920,484,2113,14.9,11.7,3.2,4.4,-2.6,1.7,10143,22873,20294,16695,14.5,32.7,29.0,23.8,19812,20.2,32.3,30.2,42715,39042,46388,48774,47199,1575,3.2,42715,58.8,263.2,231.8,90.3,81.7,7.3,6.3,52.53091186,24.65832442,1.126165149,49.83280786,43.74447752,137.8613837,71,99572,22026,22.1,51,770,77383,48.3,46.5,50.1,37403,36.0,34.7,37.2,27858,8.0,7.3,8.7,8.8,7.7,10.0,6809,13.7,12.9,14.6,10618,3.5,3.3,3.7,2721,3,1752,46,6178
1150,22079,130562,17658,13.524609,17894,13.70536603,16780,12.85213155,16623,12.73188217,15034,11.51483586,17067,13.07195049,14957,11.45586005,9422,7.216494845,5127,3.926869993,83215,63.73600282,41808,32.0215683,1174,0.899189657,1839,1.408526217,60,0.045955178,2466,1.888757832,130562,-720,4500,13.4,11.0,2.4,0.2,-8.1,-7.9,12774,32580,23640,17832,14.7,37.5,27.2,20.5,24641,19.4,25.2,22.8,48116,45709,50523,55281,52346,2935,5.3,48116,100.2,260.3,231.8,84.1,75.8,9.1,7.8,66.23391098,21.48959802,4.426801157,70.2404462,50.20777008,209.9368422,26,132080,27820,21.1,22,79,98312,50.5,48.8,52.1,49631,37.7,36.3,39.1,37064,8.7,8.0,9.3,9.9,8.8,11.1,9746,15.0,14.1,15.8,14707,3.6,3.4,3.8,3530,4,774,18,8506
