TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,POP_ESTIMATE_2018,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Total nurse practitioners (2019),Total physician assistants (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
-0.03296682540588638,0.00400202537798218,0.009001901653349081,-0.0655444404222033,-0.011553217700025356,0.001841463537212731,-0.014890869739480624,-0.08292037460275986,-0.12839582747173564,-0.14301233531235363,0.025882349948079596,-0.03296682540588638,-0.04894210301858604,0.04478382679230108,-0.0694013286755865,-0.15635592115953514,-0.008580372925653418,-0.0063075684350949405,-0.059887066060113014,-0.032229054769173336,0.013939780550695885,-0.042626589398676716,0.09962235190452493,-0.02040805282439065,-0.039030045096666154,-0.1203115845533769,-0.04638837544675827,-0.06692777444653458,-0.03744447963583886,-0.15350204674469575,-0.1291514305070004,-0.10919803617525035,3596
-0.2626140595169868,-0.26416073838279786,-0.27135618619675067,-0.2555688742163466,-0.24457226411975178,-0.24878383713067462,-0.2617322260840292,-0.27143843315810884,-0.28533115105258366,-0.2759811341563364,-0.2741590274648485,-0.2626140595169868,-0.30164794121245087,-0.2661923531634699,-0.24023271199396515,-0.24832315340474842,-0.25966897861149935,-0.26080132840259673,-0.23023137095268548,-0.2990045140235037,-0.2818991438627859,-0.2541635151142507,-0.26788325746592073,-0.2643560287896083,-0.2619775381818857,-0.27864980104539583,-0.2609429281082487,-0.2785022480515274,-0.2783957533376555,-0.30455207520958505,-0.25921298602835846,-0.2612571538594068,796
-0.2352732829049866,-0.2468108206366407,-0.2537974046694766,-0.24554733880510518,-0.23664783493679356,-0.2380873092227743,-0.2252638622552128,-0.21374072284249027,-0.19611109780165054,-0.19600331199776122,-0.24410283774594493,-0.2352732829049866,-0.25541171028463155,-0.22409008327393698,-0.21032576693939647,-0.22939446860321663,-0.23342016006821678,-0.23399169108583284,-0.2170591011299115,-0.2590063846284007,-0.24042699315358745,-0.23009336133839298,-0.23063802615190546,-0.2351597367307898,-0.23438250473206348,-0.20193382009715002,-0.2309487034292544,-0.2350176346193886,-0.24370168539248843,-0.255655941375206,-0.22232850683432281,-0.2148011140768812,1844
-0.287336521292667,-0.2822933591851727,-0.2930350257973777,-0.27156302488181977,-0.2640400070071596,-0.27474018665278105,-0.2925044156448096,-0.3125980767594665,-0.32085687210449637,-0.29684491384987777,-0.30614420223638505,-0.287336521292667,-0.3368814802983786,-0.30081880021088137,-0.25832253736082916,-0.2695959477792253,-0.2808434949111145,-0.281479334924949,-0.2623307857635231,-0.3174785326177783,-0.3047506455383258,-0.27400881480777317,-0.3009733398998455,-0.28855051700683537,-0.2855857302383354,-0.31092700930869843,-0.2870187343376376,-0.30643637564464205,-0.30798775246735677,-0.3376086163933906,-0.2849596805885159,-0.28954992996756146,222
-0.25492566058155713,-0.25459436769569366,-0.263957338452457,-0.25038405790669155,-0.24273498428576382,-0.24849078157155408,-0.25785625787908745,-0.26096962490148534,-0.2533670187863322,-0.24937225570660249,-0.26736930626768374,-0.25492566058155713,-0.27770195330412706,-0.26023576192507936,-0.2481499472519303,-0.22505786589326818,-0.2596094083610401,-0.2606035338608415,-0.23330063770750661,-0.2973338955742716,-0.28209393199894567,-0.25568649541366023,-0.2821143396279482,-0.2646674532109907,-0.25371868548992027,-0.25159106357915406,-0.2536452261216184,-0.25871404888497634,-0.26407351730566947,-0.27046251711378555,-0.23337574037361664,-0.23948452368564166,1376
-0.1432172648276139,-0.15849582579341964,-0.15137836942193686,-0.14617474635433064,-0.1489594792237315,-0.13913919293971214,-0.14127741308514954,-0.13319715754659467,-0.10075970183109795,-0.12381161052192066,-0.18201937239126081,-0.1432172648276139,-0.10580714791017433,-0.113246343789847,-0.20375939526402181,-0.016080497465211348,-0.16758961783340295,-0.16932417847712092,-0.12587630128876723,-0.17620727696076197,-0.07352185207546368,-0.16297456703119753,-0.16682332088853738,-0.15740345041033124,-0.13713679841205192,-0.11701101328002214,-0.14009566126542558,-0.11233446087819964,-0.11613781722295094,-0.06449042282788597,-0.07527352922929698,-0.08265172772809289,4513
-0.23242835687845334,-0.21917705440184654,-0.21926225820121392,-0.21638045695008434,-0.2130972479738569,-0.22979802340765,-0.24460087490196628,-0.26210926731929496,-0.270633961886437,-0.24937225570660249,-0.23513918101327308,-0.23242835687845334,-0.28103124679026575,-0.23701107285418305,-0.24060860446912077,-0.19147849626082944,-0.22594680137423495,-0.22594993014532797,-0.22255820406563268,-0.2802897259466021,-0.26436624637732514,-0.24225262484980095,-0.2629856410878953,-0.24806576102751152,-0.22937680387149575,-0.25892071059610855,-0.23504330975878815,-0.24264185751750933,-0.2428877839385927,-0.27287288990843805,-0.2243206309151791,-0.23296437775125212,1341
-0.2574265744398148,-0.2522680002786024,-0.2614551042298971,-0.24584047329611042,-0.24022960269396204,-0.24574861883978313,-0.2609399010918588,-0.27711014193511496,-0.2820851460833734,-0.2692533211392162,-0.2780858898934229,-0.2574265744398148,-0.2821884878415974,-0.2784665411698503,-0.24650541767312448,-0.22349512617797143,-0.2544538739576555,-0.2551217994179113,-0.23560258777362245,-0.2847944526685278,-0.2978151704745958,-0.25187202962631333,-0.27971016551865685,-0.2637665717276681,-0.2554213990016731,-0.2766724317690166,-0.2575988821472095,-0.2655969007689941,-0.27135003925915513,-0.2801040082923955,-0.2412536856024573,-0.2514769349578225,1050
-0.10373504287972748,-0.1139034933405771,-0.09628607455626366,-0.12961264761253488,-0.12234675920414823,-0.09114087886375241,-0.06996816378981278,-0.08464308988549538,-0.09417752508797705,-0.1300858631109204,-0.05547948387905035,-0.10373504287972748,-0.007957966092964178,-0.0918868499552144,-0.16916554090985658,-0.13211392132599445,-0.09148049965570688,-0.09056239195019462,-0.11091362585901422,-0.11085846584195014,-0.22023843065298726,-0.16093731335566305,-0.074978856621502,-0.1387511408247348,-0.10129952410940331,-0.09619659984445157,-0.10394190830413778,-0.06384330491872343,-0.06692714871949447,-0.034073813752509334,-0.08106879928269702,-0.10826658675605186,4212
-0.2689373308005291,-0.2645738316624683,-0.27495854063784986,-0.25100696870007766,-0.24533315778837306,-0.2570103253259874,-0.27571569148638797,-0.29213751986297704,-0.3020120099221366,-0.2866398042171673,-0.29173422461106074,-0.2689373308005291,-0.2981584143499739,-0.29126719557356323,-0.25496299836412584,-0.23107441379716062,-0.2702508212839924,-0.2714539772942704,-0.23905551287279622,-0.2985937048930388,-0.29709326523257507,-0.25744556587569317,-0.2907205477501999,-0.2680099750672983,-0.26600314053324936,-0.2912871234884208,-0.2685542445211514,-0.2787036080800492,-0.28012073850859864,-0.29858353305139795,-0.25869986315904697,-0.2656815386005997,727
